"date","precip","temp","wind","radiance","humid","pressure"
2014-07-04,10,16.0208333333333,3.2375,4.1,99.3833333333333,972.15
2014-07-05,36.2,19.5791666666667,7.14583333333333,7.9875,86.85,967.6125
2014-07-06,3.8,9.32083333333333,4.98333333333333,6.71666666666667,91.2791666666667,973.5
2014-07-07,0,8.37083333333333,3.23333333333333,12.2625,79.2125,980.958333333333
2014-07-08,0,9.47916666666667,2.47083333333333,2.36666666666667,87.825,893.808333333333
2014-07-09,0.4,-53.4958333333333,3.88333333333333,-55.725,-16.6166666666667,351.441666666667
2014-07-10,0,11.7791666666667,5.15,12.4375,93.7208333333333,982.608333333333
2014-07-11,0,12.6,5.35833333333333,11.9416666666667,92.775,981.35
2014-07-12,0,14.0583333333333,5.16666666666667,12.4875,90.675,980.104166666667
2014-07-13,0.6,15.8125,4.52916666666667,7.125,88.7916666666667,978.716666666667
2014-07-14,0,18.2916666666667,3.3875,10.5458333333333,82.6291666666667,976.991666666667
2014-07-15,13.6,17.6625,4.03333333333333,9.55416666666667,82.2916666666667,975.504166666667
2014-07-16,9.6,17.2208333333333,4.02083333333333,9.29166666666667,88.1458333333333,974.4875
2014-07-17,45.8,14.7291666666667,3.85,0.8375,95.7166666666667,972.241666666667
2014-07-18,3.2,10.3083333333333,5.2125,12.8041666666667,87.2208333333333,977.729166666667
2014-07-19,0,9.82083333333333,2.87083333333333,11.6958333333333,88,979.529166666667
2014-07-20,0,13.4166666666667,1.90416666666667,13.4,69.7875,978.883333333333
2014-07-21,0,15.2625,3.875,13.6416666666667,68.5375,975.083333333333
2014-07-22,22.4,-9.18333333333333,3.5625,-16.1,42.7375,746.775
2014-07-23,47.2,-99,4.5875,-99,-99,-99
2014-07-24,5.2,-99,5.45416666666667,-99,-99,-99
2014-07-25,0.2,-99,2.16666666666667,-99,-99,-99
2014-07-26,0,-99,3.05416666666667,-99,-99,-99
2014-07-27,0.2,-99,1.60833333333333,-99,-99,-99
2014-07-28,0,-44.0833333333333,5.1875,-41.9541666666667,-11.0166666666667,441.808333333333
2014-07-29,0.2,-4.3125,5.27916666666667,-8.4125,85.7916666666667,800.091666666667
2014-07-30,13.4,15.6916666666667,3.925,5.70416666666667,97.7083333333333,978.095833333333
2014-07-31,0,17.1291666666667,3.75416666666667,10.85,91.2833333333333,973.575
2014-08-01,35.6,16.0375,3.0375,2.10416666666667,100,970.954166666667
2014-08-02,7.2,17.3583333333333,4.25416666666667,-1.14583333333333,94.5583333333333,879
2014-08-03,17.4,18.2208333333333,6.37083333333333,5.97083333333333,87.5541666666667,963.3
2014-08-04,3.2,11.1291666666667,3.69583333333333,14.25,74.1583333333333,975.604166666667
2014-08-05,0,9.475,3.25833333333333,15.8208333333333,57.725,980.941666666667
2014-08-06,0,15.9166666666667,5.14166666666667,12.6583333333333,61.7666666666667,972.6625
2014-08-07,0.2,12.5916666666667,4.38333333333333,6.64166666666667,79.0708333333333,977.879166666667
2014-08-08,0.2,9.67916666666667,1.72916666666667,15.6833333333333,64.7041666666667,983.866666666667
2014-08-09,0.6,10.8708333333333,3.10833333333333,15.3,70.9583333333333,977.116666666667
2014-08-10,2,15.4458333333333,4.83333333333333,7.28333333333333,95.9458333333333,970.016666666667
2014-08-11,8.6,11.1708333333333,3.2625,7.275,97.25,972.233333333333
2014-08-12,0.2,8.925,3.275,14.5125,77.275,975.416666666667
2014-08-13,0,5.75,3.70833333333333,16.7916666666667,65.3958333333333,983.8875
2014-08-14,0,8.10416666666667,2.04166666666667,16.9416666666667,55.8708333333333,984.008333333333
2014-08-15,0,10.65,3.4375,15.8,66.05,982.566666666667
2014-08-16,0,14.7125,1.84583333333333,16.5291666666667,83.0875,980.9
2014-08-17,0,13.7333333333333,2.2875,9.725,96.1208333333333,980.620833333333
2014-08-18,0.4,13.9416666666667,1.73333333333333,16.6541666666667,96.2708333333333,977.929166666667
2014-08-19,0.4,16.3125,2.09166666666667,17.525,79.7666666666667,977.570833333333
2014-08-20,0,17.7333333333333,3.12916666666667,17.1541666666667,80.3625,977.025
2014-08-21,0.2,19.5666666666667,2.5625,17.2541666666667,73.175,974.041666666667
2014-08-22,0,20.2416666666667,2.39166666666667,17.4791666666667,61.4541666666667,972.358333333333
2014-08-23,0.8,21.0166666666667,4.375,9.14166666666667,67.8125,967.633333333333
2014-08-24,0,22.775,6.42083333333333,12.8708333333333,69.6291666666667,961.320833333333
2014-08-25,0.8,10.1875,7.79583333333333,14.2541666666667,83.35,965.1125
2014-08-26,0,6.46666666666667,10.7416666666667,7.4625,89.3291666666667,969.0375
2014-08-27,0,5.85833333333333,4.6,14.3,82.2291666666667,975.8
2014-08-28,0.2,7.25833333333333,2.08333333333333,18.6791666666667,79.7833333333333,978.045833333333
2014-08-29,0,10.5458333333333,3.86666666666667,17.8291666666667,87.1666666666667,976.808333333333
2014-08-30,12.2,14.6833333333333,4.05833333333333,17.9916666666667,81.7333333333333,972.8375
2014-08-31,8.6,15.5875,3.5625,10.575,95.2541666666667,969.245833333333
2014-09-01,0.2,12.8541666666667,3.37083333333333,18.9166666666667,87.9625,970.483333333333
2014-09-02,33.2,12.725,6.04166666666667,2.275,97.45,968.225
2014-09-03,0,14.975,5.88333333333333,12.7833333333333,91.9791666666667,975.608333333333
2014-09-04,0,14.0791666666667,8.87916666666667,14.2666666666667,83.85,978.5
2014-09-05,0,15.7458333333333,6.22083333333333,13.2416666666667,83.1,975.108333333333
2014-09-06,25,15.7708333333333,5.04583333333333,4.30833333333333,91.6333333333333,969.9625
2014-09-07,0.2,9.5625,2.025,20.1208333333333,64.85,931.520833333333
2014-09-08,0,-14.525,3.275,15.9375,29.3083333333333,660.8125
2014-09-09,0,22.1666666666667,7.37083333333333,14.1875,77.0708333333333,964.254166666667
2014-09-10,49.6,-76.3,5.35833333333333,-78.3083333333333,-57.5416666666667,122.2125
2014-09-11,0.2,-57.525,2.925,-58.0291666666667,-37.0541666666667,304.4
2014-09-12,0.4,-40.5583333333333,-41.975,-42.5875,2.84166666666667,483.025
2014-09-13,0.6,-99,-99,-99,-99,-99
2014-09-14,5.4,-99,-99,-99,-99,-99
2014-09-15,1.2,-99,-99,-99,-99,-99
2014-09-16,0,-99,-44.35,-99,-99,-99
2014-09-17,0,-99,4.575,-99,-99,-99
2014-09-18,0,-99,-33.8375,-99,-99,-99
2014-09-19,0.6,-99,-69.625,-99,-99,-99
2014-09-20,0,-99,4.55416666666667,-99,-99,-99
2014-09-21,0,-99,3.96666666666667,-99,-99,-99
2014-09-22,0,-99,4.85833333333333,-99,-99,-99
2014-09-23,16.2,-28.6541666666667,-4.12916666666667,-32.1458333333333,-15.8708333333333,434.266666666667
2014-09-24,1.2,14.3583333333333,4.88333333333333,21.1083333333333,78.8875,972.320833333333
2014-09-25,1.4,16.6,5.25833333333333,21.9291666666667,74.9,967.916666666667
2014-09-26,4.2,12.3416666666667,4.925,13.9625,84.0416666666667,972.254166666667
2014-09-27,0,12.0083333333333,4.95,23.2,74.2208333333333,977.116666666667
2014-09-28,13.4,17.0958333333333,6.39166666666667,17.2083333333333,90.7291666666667,969.983333333333
2014-09-29,0.4,16.3375,4.17916666666667,12.6166666666667,94.8791666666667,969.283333333333
2014-09-30,18.2,14.0333333333333,5.97916666666667,9.2,98.3375,970.570833333333
2014-10-01,0.2,14.0208333333333,5.49583333333333,20.6083333333333,87.8666666666667,977.041666666667
2014-10-02,0,11.2,5.40416666666667,24.7083333333333,83.2666666666667,984.308333333333
2014-10-03,0,-1.3,-4.37916666666667,11.3541666666667,59.9875,849.395833333333
2014-10-04,0,14.6333333333333,13.3666666666667,9.9,78.7583333333333,978.9625
2014-10-05,0,16.45,8.57916666666667,13.9583333333333,79.1583333333333,976.258333333333
2014-10-06,8.4,15.7208333333333,5.3375,5.9625,97.9583333333333,974.204166666667
2014-10-07,0,-21.3708333333333,2.48333333333333,-14.6083333333333,27.0666666666667,616.395833333333
2014-10-08,0,-99,-39.2125,-99,-99,-99
2014-10-09,19.6,-99,-89.9583333333333,-99,-99,-99
2014-10-10,33.4,-99,-99,-99,-99,-99
2014-10-11,0,-37.1458333333333,-42.3125,-35.0916666666667,2.5375,482.620833333333
2014-10-12,10.8,-23.7208333333333,-29.6458333333333,4.75,33.6666666666667,615.633333333333
2014-10-13,0,14.9208333333333,6.01666666666667,25.2166666666667,86.9958333333333,973.316666666667
2014-10-14,0,16.5541666666667,4.09166666666667,25.2875,80.2791666666667,974.958333333333
2014-10-15,5.6,18.6833333333333,6.07083333333333,22.05,76.8166666666667,972.704166666667
2014-10-16,21.4,-1.47083333333333,-9.825,3.38333333333333,61.4083333333333,789.191666666667
2014-10-17,4.8,16.4416666666667,6.025,3.75,99.8708333333333,968.420833333333
2014-10-18,0.4,19.3333333333333,5.40833333333333,12.6541666666667,92.8875,965.679166666667
2014-10-20,0,15.5708333333333,2.88333333333333,26.0125,75.1958333333333,976.691666666667
2014-10-21,0,16.6583333333333,2.99166666666667,26.0958333333333,75.1,978.529166666667
2014-10-22,0,19.5416666666667,4.18333333333333,27.0333333333333,59.8125,977.045833333333
2014-10-23,0,20.4708333333333,3.425,26.1916666666667,72.45,973.979166666667
2014-10-24,0,18.7,4.9875,26.6916666666667,85.4458333333333,972.275
2014-10-25,0,19.1333333333333,5.075,21.3958333333333,87.9375,971.579166666667
2014-10-26,0,21.2291666666667,4.60416666666667,25.6833333333333,78.2541666666667,971.258333333333
2014-10-27,0,22.95,4.05833333333333,27.2125,73.0041666666667,970.454166666667
2014-10-28,0,27.2458333333333,3.44583333333333,24.8541666666667,59.7208333333333,969.35
2014-10-29,65,24.3416666666667,5.85,17.1875,68.5291666666667,962.820833333333
2014-10-30,6.8,18.1416666666667,4.4625,8.74166666666667,95.1166666666667,966.333333333333
2014-10-31,0,19.2375,4.3125,17.2,91.4208333333333,970.645833333333
2014-11-01,2.8,17.6583333333333,6.80416666666667,12.575,95.9666666666667,974.4875
2014-11-02,15.2,15.6,10.425,9.4125,98.8875,974.716666666667
2014-11-03,45.6,17.9291666666667,4.95,5.55416666666667,99.3958333333333,965.633333333333
2014-11-04,1.2,14.8416666666667,5.975,28.9416666666667,80.5375,969.220833333333
2014-11-05,0,14.575,5.72916666666667,29.7708333333333,74.0083333333333,975.3375
2014-11-06,0,17.7583333333333,7.27083333333333,24.4541666666667,85.6541666666667,971.666666666667
2014-11-07,0,20.1458333333333,3.55833333333333,20.3916666666667,82.1666666666667,967.775
2014-11-08,0,21.2333333333333,3.05416666666667,27.1625,65.9541666666667,970.441666666667
2014-11-09,0,21.4833333333333,3.37916666666667,28.0791666666667,63.3333333333333,971.166666666667
2014-11-10,7.6,21.9708333333333,3.41666666666667,21.6208333333333,73.8041666666667,970.054166666667
2014-11-11,2.6,21.2916666666667,5.77916666666667,20.3,75.3,967.275
2014-11-12,5,17.7416666666667,5.35416666666667,12.8416666666667,89.225,966.5875
2014-11-13,0,14.8583333333333,6.07916666666667,26.5666666666667,81.2666666666667,972.604166666667
2014-11-14,0,16.1958333333333,3.325,29.0041666666667,65.3208333333333,974.308333333333
2014-11-15,0,19.5333333333333,3.5625,28.8541666666667,63.1833333333333,975.054166666667
2014-11-16,0,22.3083333333333,4.52083333333333,28.6208333333333,60.075,975.520833333333
2014-11-17,0,19.0958333333333,7.80416666666667,30.0166666666667,81.5083333333333,975.008333333333
2014-11-18,0,21.9125,5.43333333333333,29.7583333333333,69.9791666666667,969.695833333333
2014-11-19,0,23.6041666666667,5.375,25.3916666666667,61.2416666666667,966.554166666667
2014-11-20,0,19.8583333333333,6.23333333333333,25.625,86.8166666666667,970.041666666667
2014-11-21,2.2,19.6166666666667,6.33333333333333,13.6625,92.4583333333333,967.220833333333
2014-11-22,0.2,16.1583333333333,7.15833333333333,14.5666666666667,91.2416666666667,967.041666666667
2014-11-23,0.2,18.5166666666667,2.74166666666667,29.9541666666667,62.3416666666667,971.170833333333
2014-11-24,0,22.9125,6.45,29.9541666666667,53.6916666666667,967.645833333333
2014-11-25,0.2,19.6,6.92083333333333,22.0375,90.025,968.204166666667
2014-11-26,0,18.3583333333333,5.69583333333333,18.1208333333333,92.2791666666667,969.604166666667
2014-11-27,0,18.65,4.22083333333333,29.8708333333333,76.725,972.379166666667
2014-11-28,0,18.2958333333333,6.28333333333333,31.0541666666667,70.8208333333333,973.529166666667
2014-11-29,0,23.6125,6.65416666666667,27.3041666666667,69.7083333333333,968.65
2014-11-30,2.4,23.6833333333333,6.425,13.9791666666667,75.875,966.675
2014-12-01,13,20.4791666666667,3.60833333333333,10.1458333333333,94.7875,968.358333333333
2014-12-02,27,19.7541666666667,3.64583333333333,3.825,100,965.6
2014-12-03,0.8,18.0083333333333,6.07916666666667,21.85,79.0958333333333,968.475
2014-12-04,0,20.0041666666667,3.40416666666667,31.9583333333333,59.8125,974.65
2014-12-05,0,21.025,5.92083333333333,32.0083333333333,65.1833333333333,974.7125
2014-12-06,0,22.7416666666667,5.35,32.4166666666667,54.1375,971.291666666667
2014-12-07,0,25.8083333333333,4.72083333333333,30.1791666666667,56.2875,969.008333333333
2014-12-08,5,24.6875,4.45416666666667,25.7583333333333,76.8875,969.1625
2014-12-09,10.8,22.15,5.3375,17.7875,84.3125,965.908333333333
2014-12-10,5.8,20.9916666666667,6.6125,16.6291666666667,89.3375,965.7
2014-12-11,0,17.8,6.94583333333333,19.1708333333333,87.5875,972.995833333333
2014-12-12,0.2,17.1291666666667,5.82916666666667,13.7041666666667,95.8875,970.308333333333
2014-12-13,0,19.5875,4.275,24.8125,80.9583333333333,968.579166666667
2014-12-14,0,17.5,4.58333333333333,30.7625,78.1125,973.133333333333
2014-12-15,0,18.1958333333333,5.87916666666667,28.8041666666667,77.45,973.975
2014-12-16,11,18,4.24166666666667,5.45,96.4125,971.666666666667
2014-12-17,0.6,20.5791666666667,3.29166666666667,15.0708333333333,90.8666666666667,968.0625
2014-12-18,0.2,21.0416666666667,2.59166666666667,23.5541666666667,72.85,968.945833333333
2014-12-19,0,23.0333333333333,3.26666666666667,27.7333333333333,49.3208333333333,966.229166666667
2014-12-20,-581,-6.90416666666667,-20.5958333333333,-5.425,21.3416666666667,696.6875
2014-12-21,-1384,-80.1333333333333,-81.3583333333333,-82.45,-66.9375,78.2875
2014-12-22,0,15.4833333333333,4.68333333333333,22.8833333333333,78.3416666666667,972.825
2014-12-23,0,16.4958333333333,4.25,29.4041666666667,65.6333333333333,978.616666666667
2014-12-24,0,18.5166666666667,4.65833333333333,28.8166666666667,67.7916666666667,974.975
2014-12-25,0,22.2125,5.58333333333333,24.3416666666667,76.8708333333333,972.608333333333
2014-12-26,10,21.3291666666667,4.70416666666667,8.38333333333333,86.6333333333333,972.566666666667
2014-12-27,0.8,22.7625,4.475,16.2083333333333,88.1458333333333,967.591666666667
2014-12-28,0,22.0708333333333,3.8875,11.8625,93.2958333333333,966.7
2014-12-29,0,22.8916666666667,3.12916666666667,24.1916666666667,83.35,966.920833333333
2014-12-30,0,23.325,4.03333333333333,20.1083333333333,86.4666666666667,964.854166666667
2014-12-31,0,24.2,2.76666666666667,21.4333333333333,81.0666666666667,961.9875
2015-01-01,25,20.5583333333333,4.34583333333333,7.25416666666667,94.4708333333333,962.479166666667
2015-01-02,0,17.2666666666667,3.89166666666667,27.775,75.95,969.983333333333
2015-01-03,0,19.7916666666667,1.60416666666667,29.3125,60.2541666666667,973.575
2015-01-04,0,21.6041666666667,2.78333333333333,29.825,68.0041666666667,973.4625
2015-01-05,0,23.0125,3.90416666666667,27.7208333333333,72.4208333333333,972.375
2015-01-06,-183.6,23.6208333333333,4.53333333333333,19.125,61.85,969.5875
2015-01-07,29.8,20.5625,4,5.51666666666667,97.275,968.75
2015-01-08,0.4,22.275,4.6375,21.4916666666667,90.3291666666667,969.7625
2015-01-09,6.8,22.7916666666667,4.82916666666667,15.575,94.6666666666667,967.216666666667
2015-01-10,0.2,24.5583333333333,1.89583333333333,20.0583333333333,83.6583333333333,969.308333333333
2015-01-11,9.4,22.8666666666667,2.90833333333333,12.0166666666667,90.3958333333333,969.0125
2015-01-12,0.2,24.2458333333333,2.95416666666667,26.6125,81.45,969.4
2015-01-13,17.8,23.9875,6.90416666666667,21.8125,78.9958333333333,968.125
2015-01-14,2.8,20.9541666666667,5.2625,7.35,95.7666666666667,968.7625
2015-01-15,0,20.6625,7.16666666666667,20.4041666666667,88.4375,975.308333333333
2015-01-16,0.6,20.7333333333333,4.925,13.3541666666667,94.0125,972.15
